Sample,Location,Compound_Class,C,NOSC,CUE,lambda,AImod,DBE,Calculated m/z,Rel. abundance gC/gC WOEM,bioavail_OC conc mgC/gsoil,bioavail_WEOC mgC/gsoil,alpha_diversity,abs_stoichMet_donor,stoichMet_hco3,qs_max,mu_max,DR,BiomeType
KONZ_TOP,TOP,Other,9.75,0.7692307692307692,0.40941970813217504,0.11717757399942084,0.3055555555555556,4.75,282.8070219966091,0.0002812959810738294,6.993737861457732e-05,0.248625587708704,4,0.25051090733275416,1.4424813464943531,2.2857142857142856,0.9358164757306857,3.230769230769231,Temperate grasslands
LENO_TOP,TOP,Lignin-like,25.11236442516269,-0.2390297837053419,0.5122597599610763,0.037914972112601524,0.3112364760329463,12.2058568329718,522.1686118113231,0.5015988006828482,0.06877821228288197,0.137117975938641,2305,0.07773599346565246,0.9521345968615299,0.676360790962294,0.3464724164254284,4.239029783705342,Temperate forests
LENO_TOP,TOP,Cond Hydrocarbon-like,27.82199546485261,0.15893068177187297,0.4726770121719995,0.03673942219710744,0.6389835663252499,20.530045351473923,529.9365353384061,0.21264482361198972,0.029157427807505368,0.137117975938641,882,0.0760408990261687,1.115609547849381,0.6737396027839075,0.3184612224258472,3.841069318228127,Temperate forests
LENO_TOP,TOP,Tannin-like,19.753086419753085,0.4662500000000005,0.4420725298399712,0.05434761610173022,0.2405106703784664,10.56084656084656,496.75823638921196,0.09705456719728939,0.013307925809693142,0.137117975938641,567,0.11451740739992619,1.2620722449368134,1.0314821365405025,0.4559899175851985,3.5337499999999995,Temperate forests
LENO_TOP,TOP,Unsat Hydrocarbon-like,31.406077348066297,-0.9283138358694707,0.5821942055374251,0.022850351453766016,0.4384382288409241,15.545580110497237,513.0657625262332,0.09851905129160565,0.013508732904500123,0.137117975938641,362,0.05469132251542491,0.7176399051874746,0.4651793681956094,0.27082473269904417,4.928313835869471,Temperate forests
LENO_TOP,TOP,Protein-like,17.328767123287673,-0.6272727272727279,0.5490395420525821,0.04739878112574868,0.018423777288549287,4.3493150684931505,396.62983684076335,0.043847866965918254,0.006012330767593511,0.137117975938641,292,0.1051062910071716,0.8213624400557821,0.8979243187836334,0.49299595678284286,4.627272727272728,Temperate forests
LENO_TOP,TOP,Lipid-like,21.424778761061948,-1.0623709211069814,0.5939552489479062,0.031908312012251944,0.04033726484982153,4.672566371681416,427.9014922917879,0.020979384570056936,0.0028766507486845633,0.137117975938641,113,0.07858323972807185,0.6836285255014333,0.6638381201044385,0.39429013588774187,5.062370921106981,Temperate forests
LENO_TOP,TOP,Amino Sugar-like,17.511363636363637,-0.2790395846852691,0.5149137274065626,0.05379780396621213,0.0,3.9318181818181817,455.01777016642995,0.013353668575984195,0.0018310280064943872,0.137117975938641,88,0.11090357943668586,0.9420729080901465,0.9608735213830755,0.4947669664616288,4.279039584685269,Temperate forests
LENO_TOP,TOP,Carbohydrate-like,16.48,-0.16990291262135937,0.504046480585618,0.059267373974603584,0.0,2.546666666666667,478.85501865604175,0.010710664737129437,0.0014686246697125649,0.137117975938641,75,0.12038495255434746,0.9839440180956462,1.0477299185098952,0.528104578029169,4.169902912621359,Temperate forests
LENO_TOP,TOP,Other,12.416666666666666,0.13422818791946334,0.47053242573370524,0.08366123851846331,0.14351851851851852,2.5833333333333335,361.04338590776246,0.001291172367178225,0.000177042941575382,0.137117975938641,12,0.17116123851846332,1.125252044937586,1.5000000000000002,0.7057986386005579,3.8657718120805367,Temperate forests
