Sample_ID,Site,Location,mean_GWC,K_mg_per_kg,SO4-S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3-N_mg_per_g_of_soil_mean,NH4-N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,P_Extract,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,salt_C_mean,salt_N_mean,MBC_mean,MBN_mean,Sample,Site_Code,Lat,Long,Elev.m,Soil.Temperature.C,BiomeType,NOSC,CUE,lambda,AImod,DBE,Calculated m/z,CUE_CV,lambda_CV,Respiration,Lignin-like_frac,Cond Hydrocarbon-like_frac,Tannin-like_frac,Protein-like_frac,Unsat Hydrocarbon-like_frac,Carbohydrate-like_frac,Amino Sugar-like_frac,Lipid-like_frac,Other_frac,Shannon_Index,labile_to_recal_Ratio,alpha_diversity,abs_stoichMet_donor,stoichMet_hco3,qs_max,mu_max,CN_WEOM
1000S_ISCC,ISCC,TOP,1.14,237.0,10.0,0.68,2.1,9.4,1.9,55.0,20.89,6.57,0.06,28.13,35.19,117.85,0.378,4.392,11.619,0.0059,0.003,0.025,6.84,Bray,17.1,43.8,39.2,0.077751701562363,0.012247981854366,0.0144477160300375,0.00377772405559823,0.0396145116860179,0.0072466979391463,ISCC_TOP,ISCC,41.3689584,-91.6066851,231.0,31.4,Temperate grasslands,-0.2083685084738687,0.5138075488440008,0.048602429031290265,0.22008904483470962,9.005449145740956,478.94385461765916,0.12110570299838497,0.47576174912340596,0.0726,0.3422454253019037,0.4065285028740178,0.10346464167062173,0.0466170964509835,0.02409956230554237,0.04287296313874387,0.018826135105204873,0.009281231872594,0.0060644412803881245,1.4845071577560427,0.17338036012622982,18963,0.1057366822364421,0.9711738783885497,0.9400298732662355,0.46802559461575616,6.348123510212998
1000S_ISNC,ISNC,TOP,1.131,228.0,5.0,0.36,2.4,11.4,1.0,25.0,20.09,5.91,0.06,26.64,30.64,118.32,0.265,3.38,12.755,0.0024,0.0024,0.0156,6.95,Bray,14.9,50.0,35.2,0.0712834119623289,0.00713513877523158,0.00582633376835958,0.00105995802035201,0.0388133334029042,0.00502035931445901,ISNC_TOP,ISNC,41.3690394,-91.6065423,231.0,30.4,Temperate grasslands,-0.1544835289912244,0.508669517492736,0.05469214851021619,0.22940179300108296,8.117956638382996,427.78443206368956,0.1308192180966077,0.45206150813789164,0.1169,0.3834162955200419,0.3760806916426513,0.12968299711815562,0.043489651558815824,0.025412627718103223,0.015457165313073094,0.017160073356038773,0.005632695834424941,0.0036678019386953103,1.413873796011926,0.12463170300530348,7634,0.11909011923634218,0.9958231279709904,1.063585616884875,0.5210318959934268,9.990473094900008
1000S_JERC,JERC,TOP,1.031,66.0,4.0,0.15,0.2,25.7,0.1,14.0,1.93,0.55,0.08,2.73,5.49,72.87,0.104,1.8,17.308,0.0006,0.0019,0.0029,6.29,Bray,75.0,14.1,11.0,0.0601561334468433,0.00546727287413274,0.0923672827389081,0.0073730840970109,0.0811422088058359,0.0153292738155336,JERC_TOP,JERC,31.197778,-84.463889,50.0,27.5,Temperate coniferous forests,-0.2822277038149333,0.5183701756284332,0.04998147890859708,0.21342992020683688,8.00316744670769,445.4678246756551,0.12746930872732132,0.4830515427325616,0.048799999999999996,0.4170087013626662,0.18995238877031687,0.10310293876210803,0.11459530454769332,0.07355114102774585,0.027253324577245115,0.03365621408635692,0.03661139385979314,0.004268593006074536,1.7114103975280222,0.40832369942196534,6091,0.1084938259897311,0.9573957350336924,0.9576539713172916,0.47660903208733857,11.002950617566482
1000S_JORN,JORN,TOP,1.034,217.0,2.0,0.11,0.2,2.2,0.8,9.0,4.68,0.97,0.04,6.25,5.37,13.48,0.067,0.3,4.478,0.0018,0.0018,0.0014,8.52,Olsen,79.0,7.9,13.1,0.0149583877648123,0.00254227738859054,0.082648090205282,0.00326831151831842,0.0415138547450162,0.00550300619791345,JORN_TOP,JORN ,32.59092,-106.84286,1326.0,23.9,Desert shrubland,-0.1549315697058487,0.5143633807451145,0.05356803894455831,0.22967595216866027,7.684703333405382,430.3185782673509,0.1860780786067677,0.6049825793451767,0.0096,0.4159650763953851,0.2192079825381977,0.09603991269098847,0.10757717492984098,0.04396632366697849,0.03461178671655753,0.04864359214218896,0.03274087932647334,0.0012472715933894605,1.6835647699070855,0.367590618336887,3207,0.12534719245607848,1.017331891915076,1.1812674323600616,0.5366558953632953,5.883853521234108
1000S_KONA,KONA,TOP,1.248,409.0,12.0,0.32,1.4,52.4,3.3,82.0,11.64,2.32,0.17,15.18,19.36,197.28,0.188,2.061,10.963,0.02,0.0031,0.0166,5.04,Bray,21.0,42.0,37.1,0.0501584650942497,0.0251464496142832,0.0321988603695334,0.031560938371964,0.0657432742478778,0.0169725571498048,KONA_TOP,KONA,39.11012,-96.61216,358.0,26.6,Temperate grasslands,-0.009969904879070433,0.48622179482226524,0.0668167627941661,0.2631648415268407,8.096051244923409,397.5313873251224,0.19282022828116568,0.6835182822257868,0.0809,0.48059701492537316,0.28493894165535955,0.15495251017639078,0.026051560379918588,0.03582089552238806,0.005698778833107192,0.007598371777476255,0.0029850746268656717,0.0013568521031207597,1.3059363534053934,0.08637971698113207,3685,0.14826062622030362,1.144972325495336,1.3543670030019146,0.5766087025005667,1.9946539516958155
1000S_KONZ,KONZ,TOP,1.409,592.0,11.0,0.46,4.5,24.5,0.9,55.0,15.73,3.42,0.09,20.76,26.0,280.41,0.396,4.774,12.056,0.001,0.0033,0.0056,6.41,Bray,18.9,48.0,33.1,0.248625587708704,0.0227396759910432,0.0647258127684794,0.00767519215872999,0.0785722234369532,0.0183189132928827,KONZ_TOP,KONZ,39.10091,-96.56277,394.0,30.6,Temperate grasslands,-0.21583458051943819,0.5111341223947904,0.05175833044258555,0.2330091428107678,8.799648059699383,444.2874910178331,0.12876454809200627,0.536297396909918,0.36119999999999997,0.41015421937272567,0.3210881996187836,0.10015595217466644,0.06532663316582915,0.057182464044359727,0.01316929474961012,0.017328019407381736,0.014902096690348293,0.0006931207762952695,1.4976490646673464,0.2027928303459775,5771,0.11159002384608646,0.9863939081778967,0.9859230570664508,0.48158112750885856,10.933558939302111
1000S_LENO,LENO,TOP,1.341,169.0,7.0,0.38,4.2,35.4,0.8,105.0,9.91,1.86,0.1,12.3,16.01,157.1,0.227,2.089,9.203,0.0009,0.0062,0.0066,5.91,Bray,44.8,28.1,27.1,0.137117975938641,0.0210180230126409,0.0262809590486633,0.0103959336406952,0.142029456768144,0.032624908060439,LENO_TOP,LENO ,31.854,-88.161,28.0,23.0,Temperate forests,-0.2829467661744237,0.5157434369152052,0.04754287460694276,0.20349427802605288,8.547336497531363,464.5974055475511,0.09961842689144688,0.3785341123428915,0.09,0.4908432708688245,0.18781942078364566,0.12074105621805792,0.062180579216354344,0.07708688245315162,0.015971039182282792,0.018739352640545145,0.024063032367972744,0.002555366269165247,1.5344637502804994,0.2509323388385722,4696,0.10101388040576803,0.9559684701684215,0.8796808641403729,0.44530050721082876,6.523828423642602
1000S_MLBS,MLBS,TOP,1.548,76.0,18.0,0.66,2.8,2.2,0.4,299.0,0.69,0.37,0.09,1.34,8.55,243.13,0.413,7.272,17.608,0.0011,0.0057,0.0076,3.89,Bray,66.8,18.2,15.1,0.0976633663687391,0.00639951551136591,0.0616585155805862,0.0160422484298215,0.328958385777373,0.0845618398695574,MLBS_TOP,MLBS,37.3779,-80.52435,601.0,16.2,Temperate forests,-0.2604013686774766,0.5060366107227091,0.04905837565591312,0.2215274451708847,8.710751498250268,467.56651193716556,0.10824360520622388,0.38402963986056715,0.0313,0.4147465437788018,0.2867985904039035,0.10788831661696936,0.05204662510165357,0.07888316616969368,0.014095960965031174,0.016535646516671186,0.025210084033613446,0.003795066413662239,1.5594725016660882,0.23543201607501674,3689,0.102649254601632,0.9965640770674684,0.8818979312646201,0.43728745847783174,15.261056277664036
1000S_MOAB,MOAB,TOP,1.007,212.0,2.0,0.37,0.4,4.3,0.3,5.0,9.12,1.14,0.05,10.85,9.54,54.12,0.079,0.47,5.949,0.0014,0.0023,0.0032,8.57,Olsen,68.7,16.2,15.2,0.037329554448461,0.00459764077160418,0.0494235433739459,0.00763553005887578,0.0876732560139198,0.0114617053665292,MOAB_TOP,MOAB ,38.24742,-109.3883,1764.0,39.2,Desert shrubland,-0.13046320638367911,0.511764553779471,0.05723347441073777,0.2677047337064129,7.9007543788147165,405.38606867068734,0.16949628225626404,0.6113141522311761,0.013,0.47113328581610836,0.21596578759800428,0.14611546685673557,0.10049893086243764,0.01924447612259444,0.008553100498930863,0.01781895937277263,0.01924447612259444,0.0014255167498218105,1.4714024500080105,0.20017108639863132,1403,0.12986875704257322,1.0126250380151518,1.2024676114287212,0.5556373118724891,8.119284716416894
1000S_NOGP,NOGP,TOP,1.18,824.0,15.0,0.52,4.5,98.5,3.7,62.0,14.06,4.25,0.05,20.47,31.31,135.24,0.448,4.485,10.011,0.0024,0.0034,0.0027,6.37,Bray,26.8,46.1,27.1,0.194947126975769,0.0275894329239798,0.0705343253674183,0.0101386409929402,0.205392566930109,0.0291958650735085,NOGP_TOP,NOGP,46.770404,-100.913635,573.0,33.8,Temperate grasslands,-0.1023374257740909,0.5009801548021617,0.054409170152453765,0.2378385075436372,8.797890706018794,449.33778533138496,0.15081245947838232,0.5177867372169223,0.1745,0.3439239575674824,0.3942863144627665,0.1023526940447432,0.056139061023001785,0.029303644575149668,0.037338514861884255,0.019168154605608653,0.009400273080558765,0.008087385778804747,1.513841837681874,0.18967887042359116,19042,0.11935313308380296,1.0395047020414523,1.0711781835331635,0.5053208024826972,7.066007029319097
